participant_emb_dim,hyper_hidden_dim,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,model_path,history_path
4,16,16,100,0.001,10,0.1524124134864126,0.9669742593491987,0.5929920414350682,0.8080564679130874,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_16hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_16hyperh_16wh_100ep.csv
4,16,32,100,0.001,10,0.15004129814250128,0.9655172413793104,0.5682446942900455,0.797732440626579,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_16hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_16hyperh_32wh_100ep.csv
4,16,64,100,0.001,10,0.1467979337487902,0.9650315687226809,0.5679920414350682,0.8103177109651338,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_16hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_16hyperh_64wh_100ep.csv
4,32,16,100,0.001,10,0.14249611433063233,0.9660029140359397,0.5804920414350683,0.8070742799393634,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_32hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_32hyperh_16wh_100ep.csv
4,32,32,100,0.001,10,0.1454674048083169,0.9664885866925692,0.5867420414350683,0.806527918140475,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_32hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_32hyperh_32wh_100ep.csv
4,32,64,100,0.001,10,0.15136751319680894,0.9660029140359397,0.5804920414350683,0.772072385042951,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_32hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_32hyperh_64wh_100ep.csv
4,64,16,100,0.001,10,0.14474957117012568,0.9664885866925692,0.5927393885800909,0.7874905255179383,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_64hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_64hyperh_16wh_100ep.csv
4,64,32,100,0.001,10,0.14870405516454152,0.9660029140359397,0.5804920414350683,0.8033413340070743,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_64hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_64hyperh_32wh_100ep.csv
4,64,64,100,0.001,10,0.148032831294196,0.9660029140359397,0.5804920414350683,0.7901560131379485,./Data/Results/NN_Results/ant_hyper_rnn_4pdim_64hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_4pdim_64hyperh_64wh_100ep.csv
8,16,16,100,0.001,10,0.1527919258390154,0.9640602234094221,0.5614893885800909,0.7971165992925721,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_16hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_16hyperh_16wh_100ep.csv
8,16,32,100,0.001,10,0.14785148203372955,0.9655172413793104,0.5742420414350682,0.8169245831227893,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_16hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_16hyperh_32wh_100ep.csv
8,16,64,100,0.001,10,0.14574538597038814,0.9626032054395337,0.5487367357251137,0.8041213996968165,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_16hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_16hyperh_64wh_100ep.csv
8,32,16,100,0.001,10,0.15294938002313888,0.9640602234094221,0.5614893885800909,0.8006063668519453,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_32hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_32hyperh_16wh_100ep.csv
8,32,32,100,0.001,10,0.15239399671554565,0.9655172413793104,0.5742420414350682,0.8088775896917635,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_32hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_32hyperh_32wh_100ep.csv
8,32,64,100,0.001,10,0.15212421651397431,0.9655172413793104,0.5742420414350682,0.7926256947953512,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_32hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_32hyperh_64wh_100ep.csv
8,64,16,100,0.001,10,0.14210708013602666,0.9655172413793104,0.5802393885800909,0.8210080848913593,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_64hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_64hyperh_16wh_100ep.csv
8,64,32,100,0.001,10,0.1508051242147173,0.9645458960660515,0.5617420414350682,0.7955627842344619,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_64hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_64hyperh_32wh_100ep.csv
8,64,64,100,0.001,10,0.14604686626366206,0.9655172413793104,0.5742420414350682,0.8053941384537645,./Data/Results/NN_Results/ant_hyper_rnn_8pdim_64hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_8pdim_64hyperh_64wh_100ep.csv
16,16,16,100,0.001,10,0.14359123153345926,0.9664885866925692,0.5867420414350683,0.8053341334007074,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_16hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_16hyperh_16wh_100ep.csv
16,16,32,100,0.001,10,0.14930650485413416,0.9660029140359397,0.5804920414350683,0.8058836533602829,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_16hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_16hyperh_32wh_100ep.csv
16,16,64,100,0.001,10,0.14962053831134522,0.9645458960660515,0.5617420414350682,0.8109082870136431,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_16hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_16hyperh_64wh_100ep.csv
16,32,16,100,0.001,10,0.1479172632098198,0.9645458960660515,0.5617420414350682,0.7920761748357757,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_32hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_32hyperh_16wh_100ep.csv
16,32,32,100,0.001,10,0.15300966373511724,0.9655172413793104,0.5742420414350682,0.8067584638706417,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_32hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_32hyperh_32wh_100ep.csv
16,32,64,100,0.001,10,0.15366662187235697,0.9664885866925692,0.5927393885800909,0.7875852703385549,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_32hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_32hyperh_64wh_100ep.csv
16,64,16,100,0.001,10,0.1475136982543128,0.9655172413793104,0.5742420414350682,0.7879579332996463,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_64hyperh_16wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_64hyperh_16wh_100ep.csv
16,64,32,100,0.001,10,0.14728101875100816,0.9664885866925692,0.5867420414350683,0.8069511116725618,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_64hyperh_32wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_64hyperh_32wh_100ep.csv
16,64,64,100,0.001,10,0.15117372678858892,0.9660029140359397,0.5804920414350683,0.7900707427993937,./Data/Results/NN_Results/ant_hyper_rnn_16pdim_64hyperh_64wh_100ep.pt,./Data/Results/NN_Results/history_ant_hyper_rnn_16pdim_64hyperh_64wh_100ep.csv
